[17, 0, 34, 46, 55, 51, 59, 8, 63, 21, 42, 29, 4, 25, 38, 12, 16, 50, 62, 33, 3, 11, 24, 7, 37, 58, 45, 15, 41, 54, 28, 20, 2, 14, 49, 32, 27, 40, 23, 19, 10, 61, 31, 53, 6, 44, 36, 57, 30, 1, 48, 18, 56, 39, 35, 43, 13, 47, 5, 26, 60, 52, 9, 22]
[51, 0, 34, 46, 21, 17, 25, 8, 29, 55, 42, 63, 4, 59, 38, 12, 16, 50, 62, 3, 33, 41, 24, 37, 7, 58, 15, 45, 11, 54, 28, 20, 2, 14, 19, 32, 57, 40, 53, 49, 10, 31, 61, 23, 6, 44, 36, 27, 30, 35, 48, 18, 56, 5, 1, 9, 47, 13, 39, 26, 60, 52, 43, 22]
[17, 34, 0, 12, 55, 51, 59, 42, 63, 21, 8, 29, 38, 25, 4, 46, 50, 16, 28, 33, 3, 11, 58, 7, 37, 24, 45, 15, 41, 20, 62, 54, 32, 44, 49, 2, 27, 10, 23, 19, 40, 61, 31, 53, 36, 14, 6, 57, 60, 1, 18, 48, 26, 39, 35, 43, 13, 47, 5, 56, 30, 22, 9, 52]
[51, 34, 0, 12, 21, 17, 25, 42, 29, 55, 8, 63, 38, 59, 4, 46, 50, 16, 28, 3, 33, 41, 58, 37, 7, 24, 15, 45, 11, 20, 62, 54, 32, 44, 19, 2, 57, 10, 53, 49, 40, 31, 61, 23, 36, 14, 6, 27, 60, 35, 18, 48, 26, 5, 1, 9, 47, 13, 39, 56, 30, 22, 43, 52]
[34, 17, 51, 63, 4, 0, 8, 25, 12, 38, 59, 46, 21, 42, 55, 29, 33, 3, 15, 50, 16, 24, 41, 20, 54, 11, 62, 28, 58, 7, 45, 37, 19, 31, 2, 49, 40, 57, 36, 32, 27, 14, 44, 6, 23, 61, 53, 10, 47, 18, 1, 35, 9, 52, 48, 56, 30, 60, 22, 43, 13, 5, 26, 39]
[34, 51, 17, 29, 4, 0, 8, 59, 12, 38, 25, 46, 55, 42, 21, 63, 3, 33, 45, 50, 16, 24, 11, 20, 54, 41, 62, 28, 58, 37, 15, 7, 49, 61, 2, 19, 40, 27, 36, 32, 57, 14, 44, 6, 53, 31, 23, 10, 13, 18, 35, 1, 43, 52, 48, 56, 30, 60, 22, 9, 47, 39, 26, 5]
[0, 17, 34, 4, 63, 59, 51, 8, 55, 25, 46, 21, 29, 12, 42, 38, 33, 50, 20, 16, 11, 3, 24, 15, 41, 62, 37, 7, 28, 58, 54, 45, 2, 36, 32, 49, 19, 40, 31, 27, 14, 53, 23, 57, 10, 6, 61, 44, 52, 48, 1, 18, 56, 47, 43, 35, 5, 39, 9, 30, 22, 13, 60, 26]
[0, 51, 34, 4, 29, 25, 17, 8, 21, 59, 46, 55, 63, 12, 42, 38, 3, 50, 20, 16, 41, 33, 24, 45, 11, 62, 7, 37, 28, 58, 54, 15, 2, 36, 32, 19, 49, 40, 61, 57, 14, 23, 53, 27, 10, 6, 31, 44, 52, 48, 35, 18, 56, 13, 9, 1, 39, 5, 43, 30, 22, 47, 60, 26]
[0, 17, 51, 21, 12, 42, 34, 25, 4, 8, 29, 38, 63, 46, 59, 55, 33, 3, 37, 16, 58, 50, 41, 28, 24, 45, 54, 20, 62, 11, 7, 15, 19, 53, 32, 49, 2, 57, 44, 10, 61, 6, 36, 40, 27, 23, 31, 14, 5, 48, 1, 35, 9, 60, 26, 18, 22, 52, 56, 13, 39, 47, 30, 43]
[0, 51, 17, 55, 12, 42, 34, 59, 4, 8, 63, 38, 29, 46, 25, 21, 3, 33, 7, 16, 58, 50, 11, 28, 24, 15, 54, 20, 62, 41, 37, 45, 49, 23, 32, 19, 2, 27, 44, 10, 31, 6, 36, 40, 57, 53, 61, 14, 39, 48, 35, 1, 43, 60, 26, 18, 22, 52, 56, 47, 5, 13, 30, 9]
[0, 17, 51, 55, 46, 42, 34, 25, 38, 8, 63, 4, 29, 12, 59, 21, 33, 3, 7, 16, 58, 50, 41, 62, 24, 15, 20, 54, 28, 11, 37, 45, 19, 23, 32, 49, 2, 57, 14, 10, 31, 36, 6, 40, 27, 53, 61, 44, 39, 48, 1, 35, 9, 30, 26, 18, 52, 22, 56, 47, 5, 13, 60, 43]
[0, 51, 17, 21, 46, 42, 34, 59, 38, 8, 29, 4, 63, 12, 25, 55, 3, 33, 37, 16, 58, 50, 11, 62, 24, 45, 20, 54, 28, 41, 7, 15, 49, 53, 32, 19, 2, 27, 14, 10, 61, 36, 6, 40, 57, 23, 31, 44, 5, 48, 35, 1, 43, 30, 26, 18, 52, 22, 56, 13, 39, 47, 60, 9]
[17, 0, 34, 4, 29, 59, 51, 8, 21, 25, 12, 55, 46, 63, 42, 38, 16, 50, 20, 33, 11, 3, 24, 45, 41, 28, 7, 37, 15, 58, 54, 62, 2, 36, 49, 32, 19, 40, 61, 27, 44, 23, 53, 57, 10, 6, 14, 31, 52, 1, 48, 18, 56, 13, 43, 35, 39, 5, 9, 60, 22, 30, 47, 26]
[51, 0, 34, 4, 63, 25, 17, 8, 55, 59, 12, 21, 46, 29, 42, 38, 16, 50, 20, 3, 41, 33, 24, 15, 11, 28, 37, 7, 45, 58, 54, 62, 2, 36, 19, 32, 49, 40, 31, 57, 44, 53, 23, 27, 10, 6, 14, 61, 52, 35, 48, 18, 56, 47, 9, 1, 5, 39, 43, 60, 22, 30, 13, 26]
[17, 0, 34, 38, 63, 59, 51, 8, 55, 25, 46, 21, 12, 29, 42, 4, 16, 50, 54, 33, 11, 3, 24, 15, 41, 62, 37, 7, 45, 58, 20, 28, 2, 6, 49, 32, 19, 40, 31, 27, 14, 53, 23, 57, 10, 36, 44, 61, 22, 1, 48, 18, 56, 47, 43, 35, 5, 39, 9, 30, 52, 60, 13, 26]
[51, 0, 34, 38, 29, 25, 17, 8, 21, 59, 46, 55, 12, 63, 42, 4, 16, 50, 54, 3, 41, 33, 24, 45, 11, 62, 7, 37, 15, 58, 20, 28, 2, 6, 19, 32, 49, 40, 61, 57, 14, 23, 53, 27, 10, 36, 44, 31, 22, 35, 48, 18, 56, 13, 9, 1, 39, 5, 43, 30, 52, 60, 47, 26]
[17, 0, 51, 21, 46, 42, 34, 25, 38, 8, 63, 4, 12, 29, 59, 55, 16, 3, 37, 33, 58, 50, 41, 62, 24, 15, 20, 54, 45, 11, 7, 28, 19, 53, 49, 32, 2, 57, 14, 10, 31, 36, 6, 40, 27, 23, 44, 61, 5, 1, 48, 35, 9, 30, 26, 18, 52, 22, 56, 47, 39, 60, 13, 43]
[51, 0, 17, 55, 46, 42, 34, 59, 38, 8, 29, 4, 12, 63, 25, 21, 16, 33, 7, 3, 58, 50, 11, 62, 24, 45, 20, 54, 15, 41, 37, 28, 49, 23, 19, 32, 2, 27, 14, 10, 61, 36, 6, 40, 57, 53, 44, 31, 39, 35, 48, 1, 43, 30, 26, 18, 52, 22, 56, 13, 5, 60, 47, 9]
[17, 34, 0, 4, 63, 59, 51, 42, 55, 25, 12, 21, 46, 29, 8, 38, 50, 16, 20, 33, 11, 3, 58, 15, 41, 28, 37, 7, 45, 24, 54, 62, 32, 36, 49, 2, 19, 10, 31, 27, 44, 53, 23, 57, 40, 6, 14, 61, 52, 1, 18, 48, 26, 47, 43, 35, 5, 39, 9, 60, 22, 30, 13, 56]
[51, 34, 0, 4, 29, 25, 17, 42, 21, 59, 12, 55, 46, 63, 8, 38, 50, 16, 20, 3, 41, 33, 58, 45, 11, 28, 7, 37, 15, 24, 54, 62, 32, 36, 19, 2, 49, 10, 61, 57, 44, 23, 53, 27, 40, 6, 14, 31, 52, 35, 18, 48, 26, 13, 9, 1, 39, 5, 43, 60, 22, 30, 47, 56]
[34, 17, 0, 38, 63, 59, 51, 42, 55, 25, 12, 21, 29, 46, 8, 4, 33, 16, 54, 50, 11, 3, 58, 15, 41, 28, 37, 7, 62, 24, 20, 45, 32, 6, 2, 49, 19, 10, 31, 27, 44, 53, 23, 57, 40, 36, 61, 14, 22, 18, 1, 48, 26, 47, 43, 35, 5, 39, 9, 60, 52, 13, 30, 56]
[34, 51, 0, 38, 29, 25, 17, 42, 21, 59, 12, 55, 63, 46, 8, 4, 3, 16, 54, 50, 41, 33, 58, 45, 11, 28, 7, 37, 62, 24, 20, 15, 32, 6, 2, 19, 49, 10, 61, 57, 44, 23, 53, 27, 40, 36, 31, 14, 22, 18, 35, 48, 26, 13, 9, 1, 39, 5, 43, 60, 52, 47, 30, 56]
