['01', '23', '12', '13']
['01', '23', '12', '30']
['01', '23', '12', '31']
['01', '23', '12', '32']
['01', '23', '13', '02']
['01', '23', '13', '03']
['01', '23', '13', '20']
['01', '23', '13', '21']
['01', '23', '13', '10']
['01', '23', '13', '12']
['01', '23', '13', '30']
['01', '23', '13', '31']
['01', '23', '13', '32']
['01', '23', '30', '02']
['01', '23', '30', '03']
['01', '23', '30', '20']
['01', '23', '30', '21']
['01', '23', '30', '10']
['01', '23', '30', '12']
['01', '23', '30', '13']
['01', '23', '30', '31']
['01', '23', '30', '32']
['01', '23', '31', '02']
['01', '23', '31', '03']
['01', '23', '31', '20']
['01', '23', '31', '21']
['01', '23', '31', '10']
['01', '23', '31', '12']
['01', '23', '31', '13']
['01', '23', '31', '30']
['01', '23', '31', '32']
['01', '23', '32', '02']
['01', '23', '32', '03']
['01', '23', '32', '20']
['01', '23', '32', '21']
['01', '23', '32', '10']
['01', '23', '32', '12']
['01', '23', '32', '13']
['01', '23', '32', '30']
['01', '23', '32', '31']
['01', '10', '02', '03']
['01', '10', '02', '20']
['01', '10', '02', '21']
['01', '10', '02', '23']
['01', '10', '02', '12']
['01', '10', '02', '13']
['01', '10', '02', '30']
['01', '10', '02', '31']
['01', '10', '02', '32']
['01', '10', '03', '02']
['01', '10', '03', '20']
['01', '10', '03', '21']
['01', '10', '03', '23']
['01', '10', '03', '12']
['01', '10', '03', '13']
['01', '10', '03', '30']
['01', '10', '03', '31']
['01', '10', '03', '32']
['01', '10', '20', '02']
['01', '10', '20', '03']
['01', '10', '20', '21']
['01', '10', '20', '23']
['01', '10', '20', '12']
['01', '10', '20', '13']
['01', '10', '20', '30']
['01', '10', '20', '31']
['01', '10', '20', '32']
['01', '10', '21', '02']
['01', '10', '21', '03']
['01', '10', '21', '20']
['01', '10', '21', '23']
['01', '10', '21', '12']
['01', '10', '21', '13']
['01', '10', '21', '30']
['01', '10', '21', '31']
['01', '10', '21', '32']
['01', '10', '23', '02']
['01', '10', '23', '03']
['01', '10', '23', '20']
['01', '10', '23', '21']
['01', '10', '23', '12']
['01', '10', '23', '13']
['01', '10', '23', '30']
['01', '10', '23', '31']
['01', '10', '23', '32']
['01', '10', '12', '02']
['01', '10', '12', '03']
['01', '10', '12', '20']
['01', '10', '12', '21']
['01', '10', '12', '23']
['01', '10', '12', '13']
['01', '10', '12', '30']
['01', '10', '12', '31']
['01', '10', '12', '32']
['01', '10', '13', '02']
['01', '10', '13', '03']
['01', '10', '13', '20']
['01', '10', '13', '21']
['01', '10', '13', '23']
['01', '10', '13', '12']
['01', '10', '13', '30']
['01', '10', '13', '31']
['01', '10', '13', '32']
['01', '10', '30', '02']
['01', '10', '30', '03']
['01', '10', '30', '20']
['01', '10', '30', '21']
['01', '10', '30', '23']
['01', '10', '30', '12']
['01', '10', '30', '13']
['01', '10', '30', '31']
['01', '10', '30', '32']
['01', '10', '31', '02']
['01', '10', '31', '03']
['01', '10', '31', '20']
['01', '10', '31', '21']
['01', '10', '31', '23']
['01', '10', '31', '12']
['01', '10', '31', '13']
['01', '10', '31', '30']
['01', '10', '31', '32']
['01', '10', '32', '02']
['01', '10', '32', '03']
['01', '10', '32', '20']
['01', '10', '32', '21']
['01', '10', '32', '23']
['01', '10', '32', '12']
['01', '10', '32', '13']
['01', '10', '32', '30']
['01', '10', '32', '31']
['01', '12', '02', '03']
['01', '12', '02', '20']
['01', '12', '02', '21']
['01', '12', '02', '23']
['01', '12', '02', '10']
['01', '12', '02', '13']
['01', '12', '02', '30']
['01', '12', '02', '31']
['01', '12', '02', '32']
['01', '12', '03', '02']
['01', '12', '03', '20']
['01', '12', '03', '21']
['01', '12', '03', '23']
['01', '12', '03', '10']
['01', '12', '03', '13']
['01', '12', '03', '30']
['01', '12', '03', '31']
['01', '12', '03', '32']
['01', '12', '20', '02']
['01', '12', '20', '03']
['01', '12', '20', '21']
['01', '12', '20', '23']
['01', '12', '20', '10']
['01', '12', '20', '13']
['01', '12', '20', '30']
['01', '12', '20', '31']
['01', '12', '20', '32']
['01', '12', '21', '02']
['01', '12', '21', '03']
['01', '12', '21', '20']
['01', '12', '21', '23']
['01', '12', '21', '10']
['01', '12', '21', '13']
['01', '12', '21', '30']
['01', '12', '21', '31']
['01', '12', '21', '32']
['01', '12', '23', '02']
['01', '12', '23', '03']
['01', '12', '23', '20']
['01', '12', '23', '21']
['01', '12', '23', '10']
['01', '12', '23', '13']
['01', '12', '23', '30']
['01', '12', '23', '31']
['01', '12', '23', '32']
['01', '12', '10', '02']
['01', '12', '10', '03']
['01', '12', '10', '20']
['01', '12', '10', '21']
['01', '12', '10', '23']
['01', '12', '10', '13']
['01', '12', '10', '30']
['01', '12', '10', '31']
['01', '12', '10', '32']
['01', '12', '13', '02']
['01', '12', '13', '03']
['01', '12', '13', '20']
['01', '12', '13', '21']
['01', '12', '13', '23']
['01', '12', '13', '10']
['01', '12', '13', '30']
['01', '12', '13', '31']
['01', '12', '13', '32']
['01', '12', '30', '02']
['01', '12', '30', '03']
['01', '12', '30', '20']
['01', '12', '30', '21']
['01', '12', '30', '23']
['01', '12', '30', '10']
['01', '12', '30', '13']
['01', '12', '30', '31']
['01', '12', '30', '32']
['01', '12', '31', '02']
['01', '12', '31', '03']
['01', '12', '31', '20']
['01', '12', '31', '21']
['01', '12', '31', '23']
['01', '12', '31', '10']
['01', '12', '31', '13']
['01', '12', '31', '30']
['01', '12', '31', '32']
['01', '12', '32', '02']
['01', '12', '32', '03']
['01', '12', '32', '20']
['01', '12', '32', '21']
['01', '12', '32', '23']
['01', '12', '32', '10']
['01', '12', '32', '13']
['01', '12', '32', '30']
['01', '12', '32', '31']
['01', '13', '02', '03']
['01', '13', '02', '20']
['01', '13', '02', '21']
['01', '13', '02', '23']
['01', '13', '02', '10']
['01', '13', '02', '12']
['01', '13', '02', '30']
['01', '13', '02', '31']
['01', '13', '02', '32']
['01', '13', '03', '02']
['01', '13', '03', '20']
['01', '13', '03', '21']
